{'docnum': 1, 'title': 'experimental investigation of the aerodynamics of awing in a slipstream .'}
{'docnum': 320, 'title': 'comment on improved numerical solution of the blasius problem withthree-point boundary conditions .'}
{'docnum': 321, 'title': 'improved numerical solution of the blasius problem with three-pointboundary conditions .'}
{'docnum': 322, 'title': 'on the numerical solution of the blasius problem with three-pointboundary conditions .'}
{'docnum': 323, 'title': 'vorticity interaction at an axisymmetric stagnationpoint in a viscous incompressible fluid .'}
{'docnum': 324, 'title': 'vorticity effect on the stagnation point flow of a viscous incompressiblefluid .'}
{'docnum': 325, 'title': 'heat transfer to constant property laminar boundarylayer flows with power function free stream velocityand wall temperature variation .'}
{'docnum': 326, 'title': 'forst-order slip effects on the compressible laminarboundary layer over a slender body of revolution inaxial flow .'}
{'docnum': 327, 'title': 'on local flat plate similarity in the hypersonic boundarylayer .'}
{'docnum': 328, 'title': 'the boundary layer near the stagnation point in hypersonicflow past a sphere .'}
{'docnum': 329, 'title': 'various aerodynamic characteristics in hypersonic rarefiedgas flow .'}
{'docnum': 330, 'title': 'taylor instability of finite surface waves .'}
{'docnum': 331, 'title': 'effects of surface tension and viscosity on taylorinstability .'}
{'docnum': 332, 'title': 'similitude of hypersonic real-gas flows over slenderbodies with blunted noses .'}
{'docnum': 333, 'title': 'boundary-layer interaction on a yawed infinite wing in hypersonicflow .'}
{'docnum': 334, 'title': 'influence of the leading-edge shock wave on the laminar boundary layerat hypersonic speeds .'}
{'docnum': 335, 'title': 'the interaction between boundary layer and shock waves in transonicflow .'}
{'docnum': 336, 'title': 'simplified laminar boundary layer calculations forbodies of revolution and for yawed wings .'}
{'docnum': 337, 'title': 'boundary layer transition with gas injection .'}
{'docnum': 338, 'title': 'mass transfer cooling at mach number 4. 8.'}
{'docnum': 339, 'title': 'experimental evaluation of heat transfer with transpirationcooling in a turbulent boundary layer at m=3 .2.'}
{'docnum': 340, 'title': 'analysis of effects of diffusion of a foreign gas intothe laminar boundary layer of a supersonic flow ofair in a tube .'}
{'docnum': 341, 'title': 'the analytical design of an axially symmetric lavalnozzle for a parallel and uniform jet .'}
{'docnum': 342, 'title': 'effect of diffusion fields on the laminar boundarylayer .'}
{'docnum': 343, 'title': 'transpiration cooling experiments in a turbulent boundarylayer at m=3 .'}
{'docnum': 344, 'title': 'some experimental techniques in mass transfer cooling .'}
{'docnum': 345, 'title': 'the interaction of shock waves with boundary layeron a flat surface .'}
{'docnum': 346, 'title': 'measurements of turbulent friction on a smooth flat plate in supersonic'}
{'docnum': 347, 'title': 'boundary layer measurements in hypersonic flow .'}
{'docnum': 348, 'title': 'turbulent boundary layer in compressible fluids .'}
{'docnum': 349, 'title': 'numerical solution of the boundary layer equationswithout similarity assumptions .'}
{'docnum': 350, 'title': 'laminar jet mixing of two compressible fluids with heat release .'}
{'docnum': 351, 'title': 'thermal distributions in jeffrey-hamel flows between nonparallel planewalls .'}
{'docnum': 352, 'title': 'on heat transfer over a sweat-cooled surface in laminarcompressible flow with a pressure gradient .'}
{'docnum': 353, 'title': 'the effect of helium injection at an axially symmetric stagnationpoint .'}
{'docnum': 354, 'title': 'laminar heat-transfer and pressure measurements over blunt-nosedcones at large angle of attack .'}
{'docnum': 355, 'title': 'the injection of air into the dissociated hypersonic laminar boundarylayer .'}
{'docnum': 356, 'title': 'on optimum nose curves for missiles in the super-aerodynamicregime .'}
{'docnum': 357, 'title': 'optimum nose shapes for missiles in the super-aerodynamicregion .'}
{'docnum': 358, 'title': 'on the model of the free shock separation, turbulentboundary layer .'}
{'docnum': 359, 'title': 'note on the hypersonic similarity law for an unyawedcone .'}
{'docnum': 360, 'title': 'lift on inclined bodies of revolution in hypersonic flow .'}
{'docnum': 361, 'title': 'the flow of a viscous liquid past a flat plate at smallreynolds number .'}
{'docnum': 362, 'title': 'three-dimensional effect of flutter in a real fluid .'}
{'docnum': 363, 'title': 'an alternative formulation of the problem of flutterin real fluids .'}
{'docnum': 364, 'title': 'a method for analysing the insulating properties ofthe laminar compressible boundary layer .'}
{'docnum': 365, 'title': 'the homogeneous boundary layer at an axisymmetric stagnationpoint with large rates of injection .'}
{'docnum': 366, 'title': 'helium injection into the boundary layer at an axisymmetricstagnation point .'}
{'docnum': 367, 'title': 'control system and analysis and design via the second method oflyapunov .'}
{'docnum': 368, 'title': 'some problems of polar missile control .'}
{'docnum': 369, 'title': 'an approximate solution of the supersonic blunt body                   problem for prescribed arbitrary axisymmetric shapes .                 '}
{'docnum': 370, 'title': 'theoretical pressure distribution on a hemisphere-cylindercombination .'}
{'docnum': 371, 'title': 'note on tip-bluntness effects in the supersonic andhypersonic regimes .'}
{'docnum': 372, 'title': 'an experimental investigation of flow about simpleblunt bodies at a nominal mach number of 5. 8.'}
{'docnum': 373, 'title': 'the generalized expansion method and its applicationto bodies travelling at high supersonic airspeeds .'}
{'docnum': 374, 'title': 'an investigation of optimum zoom climb techniques .'}
{'docnum': 375, 'title': 'steady flow in the laminar boundary layer of a gas .'}
{'docnum': 376, 'title': 'transformation between compressible and incompressibleboundary layer equations .'}
{'docnum': 377, 'title': 'a turbulent analog of the stewartson-illingworth transformation .'}
{'docnum': 378, 'title': 'engineering relations for friction and heat transfer to surfaces in high velocity flow .'}
{'docnum': 379, 'title': 'reverse flow and variational theorems for lifting surfacesin nonstationary compressible flow .'}
{'docnum': 380, 'title': 'effect of quasi-steady air forces on incompressiblebending-torsion flutter .'}
{'docnum': 381, 'title': 'the axisymmetric boundary layer on a long thin cylinder .'}
{'docnum': 382, 'title': 'a note on the laminar boundary layer on a circular cylinder inaxial incompressible flow .'}
{'docnum': 383, 'title': 'integration of the boundary layer equations for a plane in compressibleflow with heat transfer .'}
{'docnum': 384, 'title': 'application of second-order shock-expansion theoryto several types of bodies of revolution .'}
{'docnum': 385, 'title': 'on a generalised porous-wall ?couette type? flow .'}
{'docnum': 386, 'title': 'a generalised porous-wall ?couette type? flow .'}
{'docnum': 387, 'title': 'heat transfer for laminar flow in an annulus with porouswall .'}
{'docnum': 388, 'title': 'the pressure gradient induced by shear flow past aflat plate .'}
{'docnum': 389, 'title': 'simple shear flow past a flat plate in a compressibleviscous fluid .'}
{'docnum': 390, 'title': 'some panel-flutter studies using piston theory .'}
{'docnum': 391, 'title': 'flutter of rectangular simply supported panels at highsupersonic speeds .'}
{'docnum': 392, 'title': 'natural frequencies of rectangular plates with edgeselastically restrained against rotation .'}
{'docnum': 393, 'title': 'the shear flow along a flat plate with uniform suction .'}
{'docnum': 394, 'title': 'the viscous flow near a stagnation point when the external flow hasuniform vorticity .'}
{'docnum': 395, 'title': 'new methods in heat flow analysis with applicationto flight structures .'}
{'docnum': 396, 'title': 'variational and lagrangian thermodynamics of thermalconvection-fundamental shortcomings of the heat transfercoefficient .'}
{'docnum': 397, 'title': 'a sublayer for fluid injection into the incompressibleturbulent boundary layer .'}
{'docnum': 398, 'title': 'heat transfer in turbulent shear flow .'}
{'docnum': 399, 'title': 'conduction of heat in composite slabs .'}
{'docnum': 400, 'title': 'buckling stress of clamped rectangular plates in shear .'}
{'docnum': 401, 'title': 'inviscid hypersonic airflows with coupled non-equilibriumprocesses .'}
{'docnum': 402, 'title': 'magnetohydrodynamics shocks .'}
{'docnum': 403, 'title': 'magnetohydrodynamic shock waves .'}
{'docnum': 404, 'title': 'two dimensional transonic flow past airfoils .'}
{'docnum': 405, 'title': 'tables of thermal properties of gases .'}
{'docnum': 406, 'title': 'on the behaviour of boundary layers at supersonic speeds .'}
{'docnum': 407, 'title': 'stationary convection flow of an electrically conductingliquid between parallel plates in a magnetic field .'}
{'docnum': 408, 'title': 'on convective motion of a conducting fluid betweenparallel vertical plates in a magnetic field .'}
{'docnum': 409, 'title': 'on the base pressure resulting from the interaction of a supersonic externalstream with a sonic or subsonic jet .'}
{'docnum': 410, 'title': 'the supersonic flow about a blunt body of revolutionfor gases at chemical equilibrium .'}
{'docnum': 411, 'title': 'data on shape and location of detached shock wavesin cones and sphere .'}
{'docnum': 412, 'title': 'critical combinations of shear and transverse directstress for an infinitely long flat plate with'}
{'docnum': 413, 'title': 'turbulent skin friction at high mach numbers and reynoldsnumbers in air and helium . nasa r82, 1960 .'}
{'docnum': 414, 'title': 'the problem of resistance in compressible fluids .'}
{'docnum': 415, 'title': 'the aerodynamic design of section shapes for swept wings .'}
{'docnum': 416, 'title': 'methods of boundary-layer control for postponing and alleviatingbuffeting and other effects of shock-induced separation .'}
{'docnum': 417, 'title': 'on the stability of two dimensional parallel flows .'}
{'docnum': 418, 'title': 'transition form laminar to turbulent shear flow .'}
{'docnum': 419, 'title': 'the design of intermediate vertical stiffeners on webplates subjected to shear .'}
{'docnum': 420, 'title': 'an experimental study of the flow field about swept and delta wingswith sharp leading edges .'}
{'docnum': 421, 'title': 'analytic study of induced pressure on long bodies ofrevolution with varying nose bluntness at hypersonicspeeds .'}
{'docnum': 422, 'title': 'bending of a square plate with two adjacent edges freeand the others clamped or simply supported .'}
{'docnum': 423, 'title': 'an experimental investigation of the flow over blunt-nosedcones at a mach number of 5. 8.'}
{'docnum': 424, 'title': 'cantilever plate with concentrated edge load .'}
{'docnum': 425, 'title': 'the solution of elastic plate problems by electrical analogies .'}
{'docnum': 426, 'title': 'preliminary analysis of axial flow compressors havingsupersonic velocity at the entrance of the stator .'}
{'docnum': 427, 'title': 'flow of gas through turbine lattices .'}
{'docnum': 428, 'title': 'the quasi-cylinder of specified thickness and shellloading in supersonic flow .'}
{'docnum': 429, 'title': 'a description of the r. a. e.  high speed supersonictunnel .'}
{'docnum': 430, 'title': 'calibration of the flow in the mach 4 working sectionof the 4ft . x 3ft . high supersonic speed wind tunnelat rae bedford .'}
{'docnum': 431, 'title': 'free-flight measurements of the zero-lift drag andbase pressure on a wind tunnel interference model (m=0 .8 - 1. 5) .'}
{'docnum': 432, 'title': 'theoretical damping in roll and rolling moment dueto differential wing incidence for slender cruciformwings and wing-body combinations .'}
{'docnum': 433, 'title': 'application of two dimensional vortex theory to theprediction of flow fields behind wings of wing-bodycombinations at subsonic and supersonic speeds .'}
{'docnum': 434, 'title': 'contributions of the wing panels to the forces andmoments of supersonic wing-body combinations at combinedangles .'}
{'docnum': 435, 'title': 'application of similar solutions to calculations oflaminar heat transfer on bodies with yaw and largepressure gradients in high speed flow .'}
{'docnum': 436, 'title': 'heat transfer in planetary atmospheres at super-satellite speeds .'}
{'docnum': 437, 'title': 'hypervelocity stagnation point heat transfer .'}
{'docnum': 438, 'title': 'stagnation point heat transfer measurements at supersatellite speeds .'}
{'docnum': 439, 'title': 'a factor affecting transonic leading edge flow separation .'}
{'docnum': 440, 'title': 'compilation of information on the transonic attachmentof flows at the leading edge of airfoils .'}
{'docnum': 441, 'title': 'evaluation of high angle-of-attack aerodynamic derivativedata and stall-flutter prediction techniques .'}
{'docnum': 442, 'title': 'some effects of variations in several parameters includingfluid density on the flutter speed of light uniformcantilever wings .'}
{'docnum': 443, 'title': 'calculated and measured pressure distributions over the midspan sectionof the naca 4412 airfoil .'}
{'docnum': 444, 'title': 'an approach to the flutter problem in real fluids .'}
{'docnum': 445, 'title': 'on the application of mathieu functions in the theoryof subsonic compressible flow past oscillating airfoils .'}
{'docnum': 446, 'title': 'wake of a satellite traversing the ionosphere .'}
{'docnum': 447, 'title': 'motion of thin bodies in a highly rarefied plasma .'}
{'docnum': 448, 'title': 'induction drag on a large negatively charged satellitemoving in a magnetic-field-free ionosphere .'}
{'docnum': 449, 'title': 'interaction of a charged satellite with the ionosphere .'}
{'docnum': 450, 'title': 'some physical interpretations of magnetohydrodynamic duct flows .'}
{'docnum': 451, 'title': "liapunov's methods in automatic control theory ."}
{'docnum': 452, 'title': 'symmetric joukowsky airfoils in shear flow .'}
{'docnum': 453, 'title': 'the influence of two-dimensional stream shear on airfoil maximum lift .'}
{'docnum': 454, 'title': 'several approximate analyses of the bending of a rectangularcantilever plate by uniform normal pressure .'}
{'docnum': 455, 'title': 'modified cross-lees mixing theory for supersonic separatedand reattaching flows .'}
{'docnum': 456, 'title': 'a study of flow fields about some typical blunt-nosedslender bodies .'}
{'docnum': 457, 'title': 'on laminar boundary-layer flow near a position of separation .'}
{'docnum': 458, 'title': 'a new series for calculation of steady laminar boundarylayer flows .'}
{'docnum': 459, 'title': 'on the solution of the laminar boundary layer equations .'}
{'docnum': 460, 'title': 'correlated incompressible and compressible boundarylayers .'}
{'docnum': 461, 'title': 'approximate methods fore predicting separation propertiesof laminar boundary layers .'}
{'docnum': 462, 'title': 'photo-thermoelasticity .'}
{'docnum': 463, 'title': 'physical properties of plastics for photo-thermoelasticinvestigation .'}
{'docnum': 464, 'title': 'flow studies on flat plate delta wings at supersonicspeeds .'}
{'docnum': 465, 'title': 'slender delta wings with sharp edges at zero lift .'}
{'docnum': 466, 'title': 'development of the vapour screen method of flowvisualization in the 3ft tunnel at rae bedford.'}
{'docnum': 467, 'title': 'thin airfoil theory based on approximate solution of the transonic flowequation .'}
{'docnum': 468, 'title': 'a refinement of the linearised transonic flow theory .'}
{'docnum': 469, 'title': 'linearised transonic flow about slender bodies at zeroangle of attack .'}
{'docnum': 470, 'title': 'some notes for the small disturbance linear theoryof the method of local linearisation of the flow overan airfoil at mach number of unity .'}
{'docnum': 471, 'title': ''}
{'docnum': 472, 'title': 'waves in supersonic flow .'}
{'docnum': 473, 'title': 'freeman method .'}
{'docnum': 474, 'title': 'laminar mixing of a compressible fluid .'}
{'docnum': 475, 'title': 'the velocity distribution in the laminar boundary layerbetween parallel streams .'}
{'docnum': 476, 'title': 'the blasius equation with three-point boundary conditions .'}
{'docnum': 477, 'title': 'laminar boundary layers at the interface of co-currentparallel streams .'}
{'docnum': 478, 'title': 'tabulation of the blasius function with blowing andsuction .'}
{'docnum': 479, 'title': "on an equation occurring in falkner and skan's approximatetreatment of the equation of the boundary layer ."}
{'docnum': 480, 'title': 'adiabatic wall temperature due to mass transfer cooling with acombustible gas .'}
{'docnum': 481, 'title': 'mass transfer cooling of a laminary boundary layerby injection of a light weight foreign gas .'}
{'docnum': 482, 'title': 'a re-examination of the use of the simple conceptsfor prediction the shape and location of detached shockwaves .'}
{'docnum': 483, 'title': 'stagnation point shock detachment distance for flowaround spheres and cylinder .'}
{'docnum': 484, 'title': 'the influence of two-dimensional stream shear for airfoilmaximum lift .'}
{'docnum': 485, 'title': 'linear heat flow in a composite slab .'}
{'docnum': 486, 'title': 'similarity laws for aerothermoelastic testing .'}
{'docnum': 487, 'title': 'theory for supersonic two-dimensional, laminar, base-typeflows using the crocco-lees mixing concepts .'}
{'docnum': 488, 'title': 'a reaction-rate parameter for gasdynamics of a chemicallyreacting gas mixture .'}
{'docnum': 489, 'title': 'on calculation of the laminar separation point andresults of certain flows .'}
{'docnum': 490, 'title': 'normal-shock relations in magnetohydrodynamics .'}
{'docnum': 491, 'title': 'on the close relationship between turbulent plane-couetteand pressure flows .'}
{'docnum': 492, 'title': 'prediction of ogive-forebody pressures at angles of attack .'}
{'docnum': 493, 'title': 'real-gas laminar boundary layer skin friction and heattransfer .'}
{'docnum': 494, 'title': 'axisymmetric viscous flow plast very slender bodiesof revolution .'}
{'docnum': 495, 'title': 'on similar solutions for strong blast waves and theirapplication to steady hypersonic flow .'}
{'docnum': 496, 'title': 'a theory of transonic aileron buzz, neglecting viscouseffects .'}
{'docnum': 497, 'title': 'theoretical and experimental investigation of thermalstresses in hypersonic aircraft wing structures .'}
{'docnum': 498, 'title': 'calculation of potential flow about bodies of revolutionhaving axes perpendicular to the free-stream direction .'}
{'docnum': 499, 'title': 'a closed-form solution for the oscillations of a vehicleentering a planetary atmosphere .'}
{'docnum': 500, 'title': 'joule heating in magnetohydrodynamic free-convectionflows .'}
{'docnum': 501, 'title': 'stagnation-point shock detachment of blunt bodies insupersonic flow .'}
{'docnum': 502, 'title': "on squire's test of the compressibility transformation ."}
{'docnum': 503, 'title': 'theoretical prediction of the transonic characteristicsof airfoils .'}
{'docnum': 504, 'title': 'stability of compressible boundary layers induced bya moving wave .'}
{'docnum': 505, 'title': 'transition measurements on cones in free flight ballisticsrange tests .'}
{'docnum': 506, 'title': "a note on havelock's shallow-water wave-resistancecurves ."}
{'docnum': 507, 'title': 'energy equation approximations in fluid mechanics .'}
{'docnum': 508, 'title': 'a correlation of nose-bluntness induced pressures oncylindrical and conical after-bodies at hypersonicspeeds .'}
{'docnum': 509, 'title': 'a graphical approximation for temperatures and sublimation rates atsurfaces subjected to small net and large gross heat transfer rates .'}
{'docnum': 510, 'title': 'manoeuvring technique for changing the plane of circularorbits with minimum fuel expenditure .'}
{'docnum': 511, 'title': 'tunnel tests on a double cascade to determine the interactionbetween the rotor and the nozzles of a supersonic turbine .'}
{'docnum': 512, 'title': 'quasi-cylindrical surfaces with prescribed thicknessdistributions .'}
{'docnum': 513, 'title': 'pressure measurements at supersonic speeds on threeuncambered conical wings of unit aspect ratio .'}
{'docnum': 514, 'title': 'pressure distributions and flow patterns on some conicalshapes with sharp edges and symmetrical cross-sectionsat m=4 .0.'}
{'docnum': 515, 'title': 'self sustained oscillations of a system with non-lineardamping of a particular type .'}
{'docnum': 516, 'title': 'free-flight measurements of the dynamic longitudinalstability characteristics of a wind tunnel interferencemodel (m=0 .92 to 1. 35) .'}
{'docnum': 517, 'title': 'reaction-resisted shock fronts .'}
{'docnum': 518, 'title': 'heat conduction through a polyatomic gas .'}
{'docnum': 519, 'title': 'base pressure at supersonic speeds in the presenceof a supersonic jet .'}
{'docnum': 520, 'title': "wing-tail interference as a cause of 'magnus' effectson a finned missile ."}
{'docnum': 521, 'title': 'a note on application of transonic linearization toan airfoil with a round leading edge .'}
{'docnum': 522, 'title': 'laminar, transitional and turbulent heat transfer toa cone-cylinder-flare body at mach 8. 0.'}
{'docnum': 523, 'title': 'approximate determination of position of the sonicline for a blunt body in hypersonic flow .'}
{'docnum': 524, 'title': 'stagnation point heat transfer in partially ionizedair .'}
{'docnum': 525, 'title': 'on hypersonic viscous flow over an insulated flat platewith surface mass transfer .'}
{'docnum': 526, 'title': 'leading edge attachment in transonic flow with laminaror turbulent boundary layers .'}
{'docnum': 527, 'title': 'note on the three-point boundary layer problem forthe blasius equations .'}
{'docnum': 528, 'title': 'first-order slip effects on the laminar boundary layer over a slenderbody of revolution with zero pressure gradient .'}
{'docnum': 529, 'title': 'some effects of injection of foreign gases in a deceleratinglaminar boundary layer in supersonic flow .'}
{'docnum': 530, 'title': 'an aerodynamic analysis for flutter in oseen-type viscousflow .'}
{'docnum': 531, 'title': 'the flow about a moving body in the upper ionosphere .'}
{'docnum': 532, 'title': 'pitch-yaw stability of a missile oscillating in rollvia the second method of lyapunov .'}
{'docnum': 533, 'title': 'stagnation-point shock-detachment distance for flowaround spheres and cylinders in air .'}
{'docnum': 534, 'title': 'consideration of energy separation for laminar slipflow in a circular tube .'}
{'docnum': 535, 'title': 'shroud design for simulating hypersonic flow over the nose of ahemisphere .'}
{'docnum': 536, 'title': 'transition in the viscous wakes of blunt bodies athypersonic speeds .'}
{'docnum': 537, 'title': 'stagnation point viscous hypersonic flow .'}
{'docnum': 538, 'title': 'the conpressibility transformation and the turbulentboundary layer equations .'}
{'docnum': 539, 'title': 'local heat transfer to a yawed, infite, circular cylinderin laminar compressible flow .'}
{'docnum': 540, 'title': 'use of local similarity concepts in hypersonic viscousinteraction problems .'}
{'docnum': 541, 'title': 'similitude of hypersonic flows over slender bodiesin non-equilibrium dissociated gases .'}
{'docnum': 542, 'title': "biot's variational principle in heat conduction ."}
{'docnum': 543, 'title': 'the stacking of compressor stage characteristics togive an overall compressor performance map .'}
{'docnum': 544, 'title': 'a theoretical and experimental study of oscillating wedge shapedaerofoils in hypersonic flow .'}
{'docnum': 545, 'title': 'calculation of sideslip derivatives and pressure distributionin asymmetric flight conditions on a slender wing-finconfiguration .'}
{'docnum': 546, 'title': 'measurements of aerodynamic heating on a 15 cone ofgraded wall thickness at a mach number of 6. 8.'}
{'docnum': 547, 'title': 'boundary layer characteristics of caret wings .'}
{'docnum': 548, 'title': 'the contraction of satellite orbits under the influenceof air drag . pt .iv with scale height dependent onaltitude .'}
{'docnum': 549, 'title': 'experimental study of the velocity and temperaturedistribution in a high-velocity vortex-type flow .'}
{'docnum': 550, 'title': 'laminar heat transfer in tubes under slip-flow conditions .'}
{'docnum': 551, 'title': 'analysis of a loaded cantilever plate by finite differencemethods .'}
{'docnum': 552, 'title': 'chemical kinetics of high temperature air .'}
{'docnum': 553, 'title': 'ablation of glassy materials around blunt bodies ofrevolution .'}
{'docnum': 554, 'title': 'generalized heat transfer formulas and graphs .'}
{'docnum': 555, 'title': 'closing reply to comments on generalized heat transferformulas and graphs for nose cone re-entry into theatmosphere .'}
{'docnum': 556, 'title': 'numerical comparison between exact and approximatetheories of hypersonic inviscid flow past slender bluntnosed bodies .'}
{'docnum': 557, 'title': 'a numerical comparison between exact and approximatetheories of hypersonic inviscid flow past slender bluntnosed bodies .'}
{'docnum': 558, 'title': 'experimental measurements of turbulent transition motion,statistics and gross radial growth behind hypervelocity object.'}
{'docnum': 559, 'title': 'heat transfer at the forward stagnation point of bluntbodies .'}
{'docnum': 560, 'title': 'a theoretical study of the effect of upstream transpiration-coolingon the heat transfer and skin friction characteristicsof a compressible laminar boundary layer .'}
{'docnum': 561, 'title': 'a geometric problem related to the optimum distributionof lift on a planar wing in supersonic flow .'}
{'docnum': 562, 'title': 'concerning the effect of compressibility on laminarboundary layers and their separation .'}
{'docnum': 563, 'title': 'the law of the wake in the turbulent boundary layer .'}
{'docnum': 564, 'title': 'local heat transfer and recovery temperature on a yawedcylinder at a mach number of 4. 15 and high reynoldsnumbers .'}
{'docnum': 565, 'title': 'similar solutions for the compressible boundary layeron a yawed cylinder with transpiration cooling .'}
{'docnum': 566, 'title': 'investigation of local heat transfer and pressure dragcharacteristics of a yawed circular cylinder at supersonicspeeds .'}
{'docnum': 567, 'title': 'aerodynamic characteristics of a circular cylinderat mach number of 6. 86 and angles of attack up to90 .'}
{'docnum': 568, 'title': 'shock wave effects on the laminar skin friction ofan insulated flat plate at hypersonic speeds .'}
{'docnum': 569, 'title': 'an experimental investigation of leading edge shock wave boundary layerinteraction at mach 5.8 .'}
{'docnum': 570, 'title': 'on the boundary layer equations in hypersonic flowand their approximate solutions .'}
{'docnum': 571, 'title': 'heat transfer to flat plate in high temperature rarefiedultra-high mach number flow .'}
{'docnum': 572, 'title': 'boundary layer displacement and leading edge bluntness effects in hightemperature hypersonic flow .'}
{'docnum': 573, 'title': 'viscous hypersonic similitude .'}
{'docnum': 574, 'title': 'inviscid flow with nonequilibrium molecular dissociation for pressuredistributions encountered in hypersonic flight .'}
{'docnum': 575, 'title': 'atomic recombination in a hypersonic wind tunnel nozzle .'}
{'docnum': 576, 'title': 'viscous and inviscid stagnation flow in a dissociated hypervelocity free stream .'}
{'docnum': 577, 'title': 'on hypersonic similitude .'}
{'docnum': 578, 'title': 'dissociation scaling for nonequilibrium blunt nose flows .'}
{'docnum': 579, 'title': 'further developments of new methods in heat flow analysis .'}
{'docnum': 580, 'title': 'new thermo-mechanical reciprocity relations with applicationto thermal stress analysis .'}
{'docnum': 581, 'title': 'approximate formulas for thermal-stress analysis .'}
{'docnum': 582, 'title': 'the melting of finite slabs .'}
{'docnum': 583, 'title': 'influence coefficients for real gases .'}
{'docnum': 584, 'title': 'conduction of heat in a solid with a power law of heattransfer at its surface .'}
{'docnum': 585, 'title': 'nonlinear heat transfer problem .'}
{'docnum': 586, 'title': 'an approximate treatment of unsteady heat conductionin semi-infinite solids with variable thermal properties .'}
{'docnum': 587, 'title': 'variational analysis of ablation .'}
{'docnum': 588, 'title': 'compressor operation with one or more blade rows stalled .'}
{'docnum': 589, 'title': 'some stall and surge phenomena in axial flow compressors .'}
{'docnum': 590, 'title': 'effects of stage characteristics and matching on axial flow compressorperformance .'}
{'docnum': 591, 'title': 'an approximate equation for the /choke line/ of a compressor .'}
{'docnum': 592, 'title': 'design of axial compressors .'}
{'docnum': 593, 'title': 'theoretical considerations of flutter at high machnumber .'}
{'docnum': 594, 'title': 'wind tunnel techniques for the measurements of oscillatory derivatives.'}
{'docnum': 595, 'title': 'the equilibrium piston technique for gun tunnel operation .'}
{'docnum': 596, 'title': 'the properties of crossed flexure pivots, and the influence of thepoint at which the strips cross .'}
{'docnum': 597, 'title': 'measurements of pitching moment derivatives for blunt-nose aerofoilsoscillating in two-dimensional supersonic flow .'}
{'docnum': 598, 'title': 'new test techniques for a hypervelocity wind tunnel .'}
{'docnum': 599, 'title': 'aerodynamic forces, moments and stability derivativesfor slender bodies of general cross section .'}
{'docnum': 600, 'title': 'the calculation of lateral stability derivatives ofslender wings at incidence including fin effectiveness,and correlation with experiment .'}
{'docnum': 601, 'title': 'calculation of the flow past slender delta wings withleading edge separation .'}
{'docnum': 602, 'title': 'the 7 x 7 in . hypersonic wind tunnel at rae farnborough,part 1, design, instrumentation and flow visualizationtechniques .'}
{'docnum': 603, 'title': 'the 7 in. x 7 in. hypersonic wind tunnel at r.a.e. farnboroughpart ii. heater performance .'}
{'docnum': 604, 'title': 'the 7 in. x 7 in. hypersonic wind tunnel at r.a.e., farnboroughpart iii - calibration of the flow in the working section .'}
{'docnum': 605, 'title': 'pressure measurements on a cone-cylinder-flare configuration at smallincidences for m 6.8 .'}
{'docnum': 606, 'title': 'formulae and approximations for aerodynamic heating rates in high speedflight .'}
{'docnum': 607, 'title': 'duct flow in magnetohydrodynamics .'}
{'docnum': 608, 'title': 'aerodynamic noise in supersonic wind tunnels .'}
{'docnum': 609, 'title': 'on three dimensional bodies of delta planform whichcan support plane attached shock waves .'}
{'docnum': 610, 'title': 'corner interference effects .'}
{'docnum': 611, 'title': 'an approximate solution of the compressible laminarboundary layer on a flat plate .'}
{'docnum': 612, 'title': "pressure distributions and flow patterns at m=4 . onsome delta wings of inverted 'v' cross section ."}
{'docnum': 613, 'title': 'the contraction of satellite orbits under the influence of air dragpart i . with spherically symmetrical atmosphere .'}
{'docnum': 614, 'title': 'the contraction of satellite orbits under the influence of air drag .'}
{'docnum': 615, 'title': 'the contraction of satellite orbits under the influence of air drag .part iii . high eccentricity orbits . /0.2 e 1/'}
{'docnum': 616, 'title': 'determination of upper-atmosphere air density and scale height fromsatellite observations .'}
{'docnum': 617, 'title': 'determination of upper-atmosphere air density profile from satelliteobservations .'}
{'docnum': 618, 'title': 'orbit decay and prediction of the motion of artificial satellites .'}
{'docnum': 619, 'title': 'density of the upper atmosphere from analysis of satellite orbits ..further results .'}
{'docnum': 620, 'title': 'earth satellite observations and the upper atmosphere .'}
{'docnum': 621, 'title': 'latitude and diurnal variations of air densities from 190 to 280 km.as derived from the orbits of discoverer satellites .'}
{'docnum': 622, 'title': 'scale height in the upper atmosphere, derived from changes in satelliteorbits .'}
{'docnum': 623, 'title': 'on the coupling between heat and mass transfer .'}
{'docnum': 624, 'title': 'cruise performance of channel-flow ground effect machines .'}
{'docnum': 625, 'title': 'viscous and inviscid nonequilibrium gas flows .'}
{'docnum': 626, 'title': 'some features of supersonic and hypersonic flow aboutblunted cones .'}
{'docnum': 627, 'title': 'flutter analysis of circular panels .'}
{'docnum': 628, 'title': 'thermal effects on a transpiration cooled hemisphere .'}
{'docnum': 629, 'title': 'second-order effects in laminar boundary layers .'}
{'docnum': 630, 'title': 'stagnation region in rarefied high mach number flow .'}
{'docnum': 631, 'title': 'low speed wind tunnel tests on a two dimensional aerofoilwith split flap near the ground .'}
{'docnum': 632, 'title': 'calculated lift distributions in incompressible flowon some sweptback wings .'}
{'docnum': 633, 'title': 'an extension of the method of generalised conical flowsfor lifting wings in supersonic flow .'}
{'docnum': 634, 'title': 'effects of leading edge bluntness on flutter characteristicsof some square- planform double-wedge airfoils at amach number of 15 .4.'}
